# Combined matrix for the IFB0400 mutant (WT IFB0099)
# Each cell contains the difference on the AV  between the mutant and the wild-type
#  Compounds are sorted by diffAV,  pathways by genomic content (numer of distinct mutated reaction IDs)
 	path:map00626 Naphthalene degradation	path:map00310 Lysine degradation	path:map00380 Tryptophan metabolism	path:map00950 Isoquinoline alkaloid biosynthesis	path:map00405 Phenazine biosynthesis	path:map00791 Atrazine degradation	path:map00311 Penicillin and cephalosporin biosynthesis	path:map00660 C5-Branched dibasic acid metabolism	path:map01055 Biosynthesis of vancomycin group antibiotics	path:map01053 Biosynthesis of siderophore group nonribosomal peptides	path:map00642 Ethylbenzene degradation	path:map00521 Streptomycin biosynthesis	path:map00523 Polyketide sugar unit biosynthesis	path:map00525 Acarbose and validamycin biosynthesis	path:map00524 Neomycin, kanamycin and gentamicin biosynthesis	path:map00623 Toluene degradation	path:map00350 Tyrosine metabolism	path:map00908 Zeatin biosynthesis	path:map00440 Phosphonate and phosphinate metabolism	path:map00290 Valine, leucine and isoleucine biosynthesis	path:map00965 Betalain biosynthesis	path:map00332 Carbapenem biosynthesis	path:map00600 Sphingolipid metabolism	path:map00472 D-Arginine and D-ornithine metabolism	path:map00471 D-Glutamine and D-glutamate metabolism	path:map00627 Aminobenzoate degradation	path:map00625 Chloroalkane and chloroalkene degradation	path:map00780 Biotin metabolism	path:map00621 Dioxin degradation	path:map00401 Novobiocin biosynthesis	path:map00940 Phenylpropanoid biosynthesis	path:map00430 Taurine and hypotaurine metabolism	path:map00120 Primary bile acid biosynthesis	path:map00930 Caprolactam degradation	path:map04070 Phosphatidylinositol signaling system	path:map00730 Thiamine metabolism	path:map00562 Inositol phosphate metabolism	path:map00960 Tropane, piperidine and pyridine alkaloid biosynthesis	path:map00361 Chlorocyclohexane and chlorobenzene degradation	path:map00480 Glutathione metabolism	path:map01220 Degradation of aromatic compounds	path:map00920 Sulfur metabolism	path:map00650 Butanoate metabolism	path:map00550 Peptidoglycan biosynthesis	path:map00362 Benzoate degradation	path:map00500 Starch and sucrose metabolism	path:map00561 Glycerolipid metabolism	path:map00473 D-Alanine metabolism	path:map00770 Pantothenate and CoA biosynthesis	path:map00740 Riboflavin metabolism	path:map00360 Phenylalanine metabolism	path:map00564 Glycerophospholipid metabolism	path:map00966 Glucosinolate biosynthesis	path:map00280 Valine, leucine and isoleucine degradation	path:map00750 Vitamin B6 metabolism	path:map00261 Monobactam biosynthesis	path:map00250 Alanine, aspartate and glutamate metabolism	path:map00220 Arginine biosynthesis	path:map00450 Selenocompound metabolism	path:map00020 Citrate cycle (TCA cycle)	path:map00053 Ascorbate and aldarate metabolism	path:map00970 Aminoacyl-tRNA biosynthesis	path:map00860 Porphyrin and chlorophyll metabolism	path:map00460 Cyanoamino acid metabolism	path:map00710 Carbon fixation in photosynthetic organisms	path:map00720 Carbon fixation pathways in prokaryotes	path:map00630 Glyoxylate and dicarboxylate metabolism	path:map00640 Propanoate metabolism	path:map00910 Nitrogen metabolism	path:map00051 Fructose and mannose metabolism	path:map00040 Pentose and glucuronate interconversions	path:map00300 Lysine biosynthesis	path:map00330 Arginine and proline metabolism	path:map00760 Nicotinate and nicotinamide metabolism	path:map00410 beta-Alanine metabolism	path:map00130 Ubiquinone and other terpenoid-quinone biosynthesis	path:map00520 Amino sugar and nucleotide sugar metabolism	path:map00240 Pyrimidine metabolism	path:map00010 Glycolysis / Gluconeogenesis	path:map00680 Methane metabolism	path:map00061 Fatty acid biosynthesis	path:map00670 One carbon pool by folate	path:map00400 Phenylalanine, tyrosine and tryptophan biosynthesis	path:map00790 Folate biosynthesis	path:map00030 Pentose phosphate pathway	path:map00620 Pyruvate metabolism	path:map01210 2-Oxocarboxylic acid metabolism	path:map00270 Cysteine and methionine metabolism	path:map00052 Galactose metabolism	path:map00260 Glycine, serine and threonine metabolism	path:map00340 Histidine metabolism	path:map01200 Carbon metabolism	path:map00230 Purine metabolism	path:map01230 Biosynthesis of amino acids	path:map01130 Biosynthesis of antibiotics
carbon cpd:C00049 L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	0.5	0.5	0.5	nan	nan	nan	0.5	nan	0.5	0.5	nan	nan	nan	nan	nan	nan	0.5	nan	0.5	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	0.5	nan	0.5	0.5	0.5	nan	0.5	0.5
carbon cpd:C00042 Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	0.5	0.5	0.5	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	0.5	nan	nan	0.5	nan	nan	nan	nan	nan	0.5	0.5	0.5	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	0.5	nan	nan	0.5
carbon cpd:C00624 N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	0.5	0.5
carbon cpd:C00025 L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	0.5	nan	nan	0.5	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	0.5	nan	nan	nan	0.5	0.5	nan	nan	nan	0.5	nan	0.5	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	0.5	0.5	nan	0.5	0.5
carbon cpd:C00181 D-Xylose; Wood sugar	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nitrogen cpd:C00073 L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	0.5	nan	nan	nan	nan	nan	0.5	nan
nitrogen cpd:C00049 L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	0.5	0.5	0.5	nan	nan	nan	0.5	nan	0.5	0.5	nan	nan	nan	nan	nan	nan	0.5	nan	0.5	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	0.5	nan	0.5	0.5	0.5	nan	0.5	0.5
nitrogen cpd:C00065 L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	0.5	nan	0.5	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	0.5	nan	0.5	nan	0.5	nan	0.5	0.5
phosphate_and_sulphur cpd:C00093 sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
phosphate_and_sulphur cpd:C01368 3'-UMP; Uridine 3'-monophosphate; Uridine 3'-phosphate	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
phosphate_and_sulphur cpd:C00352 D-Glucosamine 6-phosphate; D-Glucosamine phosphate	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5
phosphate_and_sulphur cpd:C00073 L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	0.5	nan	nan	nan	nan	nan	0.5	nan
phosphate_and_sulphur cpd:C00169 Carbamoyl phosphate	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	0.5	0.5	nan
nutrient_stimulation cpd:C00097 L-Cysteine; L-2-Amino-3-mercaptopropionic acid	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	0.5	nan	nan	nan	0.5	nan	0.5	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	0.5	nan	0.5	nan	0.5	0.5
nutrient_stimulation cpd:C00147 Adenine; 6-Aminopurine	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan
nutrient_stimulation cpd:C00212 Adenosine	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan
osmolytes_and_ph cpd:C00739 D-Lysine; D-2,6-Diaminohexanoic acid	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
osmolytes_and_ph cpd:C00719 Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan
osmolytes_and_ph cpd:C00565 Trimethylamine; (CH3)3N; N,N-Dimethylmethanamine	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan
osmolytes_and_ph cpd:C00077 L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.5	nan	nan	nan	nan	nan	nan	0.5	0.5
osmolytes_and_ph cpd:C00244 Nitrate; Nitric acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.333333333333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
osmolytes_and_ph cpd:C00037 Glycine; Aminoacetic acid; Gly	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	0.25	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	0.25	0.25	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	0.25	0.25	0.25	0.25
osmolytes_and_ph cpd:C00079 L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	0.25	0.25
osmolytes_and_ph cpd:C00078 L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	0.25	nan	nan	0.25	nan	nan	nan	0.25	0.25
osmolytes_and_ph cpd:C00073 L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	0.25	nan	nan	nan	nan	nan	0.25	nan
osmolytes_and_ph cpd:C00188 L-Threonine; 2-Amino-3-hydroxybutyric acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	0.25	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	0.25	0.25
osmolytes_and_ph cpd:C00049 L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	nan	nan	nan	nan	nan	nan	0.25	0.25	0.25	nan	nan	nan	0.25	nan	0.25	0.25	nan	nan	nan	nan	nan	nan	0.25	nan	0.25	0.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.25	0.25	nan	0.25	0.25	0.25	nan	0.25	0.25
osmolytes_and_ph cpd:C01104 Trimethylamine N-oxide; (CH3)3NO	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.166666666667	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
osmolytes_and_ph cpd:C01380 Ethylene glycol; 1,2-Ethanediol; Ethane-1,2-diol	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.125	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.125	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C08325 Amygdalin; (R)-Amygdalin; (R)-Amygdaloside; (R)-Laenitrile	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00092 D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0
carbon cpd:C00152 L-Asparagine; 2-Aminosuccinamic acid	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	0.0	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan
carbon cpd:C00392 Mannitol; D-Mannitol	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
carbon cpd:C00794 D-Sorbitol; D-Glucitol; L-Gulitol; Sorbitol	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan
carbon cpd:C00795 D-Tagatose; lyxo-Hexulose	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan
